Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
w2vavg,25,3,100,0.744,0.749,0.738,0.748,0.739,1907,642,639,1812
w2vavg,25,3,400,0.743,0.754,0.731,0.744,0.741,1920,660,626,1794
w2vavg,25,3,800,0.745,0.755,0.735,0.747,0.743,1922,651,624,1803
w2vavg,15,5,100,0.741,0.753,0.728,0.742,0.739,1916,667,630,1787
w2vavg,15,5,400,0.740,0.755,0.726,0.741,0.740,1921,673,625,1781
w2vavg,15,5,800,0.741,0.755,0.726,0.741,0.741,1922,673,624,1781
w2vavg,20,5,100,0.738,0.747,0.729,0.741,0.735,1903,666,643,1788
w2vavg,20,5,400,0.740,0.753,0.728,0.741,0.739,1916,668,630,1786
w2vavg,20,5,800,0.742,0.753,0.730,0.743,0.740,1918,662,628,1792
w2vavg,25,5,100,0.739,0.751,0.726,0.740,0.738,1913,672,633,1782
w2vavg,25,5,400,0.742,0.752,0.731,0.744,0.739,1914,660,632,1794
w2vavg,25,5,800,0.741,0.753,0.729,0.743,0.740,1916,664,630,1790
w2vavg,15,7,100,0.739,0.754,0.723,0.738,0.739,1919,680,627,1774
w2vavg,15,7,400,0.739,0.755,0.723,0.739,0.740,1921,679,625,1775
w2vavg,15,7,800,0.738,0.752,0.724,0.739,0.738,1914,677,632,1777
